dimension_id,name_zh,name_en,applies_to,what_it_measures,common_unit,preferred_direction,selection_question,common_misreading
overall_capability,综合能力,Overall capability,语言模型,在统一评测口径下综合多类任务表现,指数或分数,越高越好,模型在广泛任务中的总体能力如何,总分高不代表每个具体任务都更强
reasoning,推理能力,Reasoning,语言模型,处理多步骤逻辑数学科学与复杂约束任务的能力,准确率或分数,越高越好,模型能否稳定解决复杂问题,推理时间更长不等于推理能力更强
coding,编程能力,Coding,语言模型,生成理解修改和调试代码的能力,通过率或分数,越高越好,模型是否适合软件开发工作,代码能运行不等于符合工程质量要求
agentic,智能体能力,Agentic capability,语言模型,在工具调用和多步骤流程中规划执行与纠错的能力,成功率或分数,越高越好,模型能否独立完成较长工作流,单次工具调用成功不等于完整任务可靠
instruction_following,指令遵循,Instruction following,语言模型,按格式约束步骤和边界完成请求的能力,通过率或分数,越高越好,模型能否按要求稳定交付,回答流畅不等于严格遵守指令
output_speed,输出速度,Output speed,语言模型与语音模型,开始输出后单位时间生成的内容量,Token/秒或字符/秒,越高越好,长回复或批量任务能多快完成,输出速度不包含等待首个结果的时间
first_response_latency,首段响应时间,Time to first response,语言模型与流式多模态模型,从请求发出到收到首个可用输出的等待时间,秒,越低越好,交互开始前需要等多久,首段响应快不代表整项任务完成快
task_cost,标准任务成本,Cost per task,全部模型,按统一任务和用量口径完成一次任务的估算费用,美元/任务,越低越好,完成同类工作实际需要多少钱,任务成本不能只看输入单价
input_price,输入价格,Input price,按量计费模型,服务商对输入内容的公开计费价格,美元/百万 Token 或调用,越低越好,大量输入的成本是多少,不同服务商的计费单位可能不同
output_price,输出价格,Output price,按量计费模型,服务商对模型生成内容的公开计费价格,美元/百万 Token 或调用,越低越好,大量生成内容的成本是多少,输出价格通常不能与输入价格混为一项
context_window,上下文窗口,Context window,语言模型与多模态模型,单次请求可接收和处理的最大上下文范围,Token 或字符,越高越好,模型一次能处理多长的材料,标称上限不等于长上下文各位置效果相同
max_output,最大输出,Maximum output,生成式模型,单次请求允许生成的最大内容长度,Token 秒或帧,越高越好,一次最多可以生成多少内容,上下文窗口大不代表最大输出也大
image_quality,图像质量,Image quality,图像生成与图像编辑模型,输出图像在提示词遵循细节结构审美和一致性上的表现,偏好率或分数,越高越好,模型能否稳定生成符合要求的图片,单张优秀样例不能代表稳定质量
video_quality,视频质量,Video quality,视频生成与视频编辑模型,输出视频在画面质量运动合理性提示词遵循和时序一致性上的表现,偏好率或分数,越高越好,模型能否稳定生成连贯视频,分辨率高不等于运动与叙事更好
speech_quality,语音质量,Speech quality,语音合成模型,合成语音的自然度清晰度韵律和风格控制表现,偏好率或分数,越高越好,声音是否自然且适合目标内容,音色相似不等于表达自然
real_time_factor,实时系数,Real-time factor,语音与视频模型,生成耗时与输出媒体时长之间的比例,比值,越低越好,生成速度能否满足实时或批量需求,不同硬件与服务配置下结果不可直接混比
availability,可用性,Availability,全部模型,模型在地区接口配额和产品形态上的实际可访问程度,类别或状态,视场景而定,目标用户和系统是否能够稳定使用,榜单有结果不代表所在地区能够直接调用
openness,开放程度,Openness,全部模型,权重代码训练信息和使用许可的公开程度,等级或分项分数,越高越开放,模型能否私有部署审计或二次开发,可下载权重不等于所有用途均可商用

